Regions,,Media Locations,,Size,Show Times,Timing,Traffic/Mth,Latitude,Longitude
ภาคเหนือ,เชียงใหม่,1,แยกเมญ่า,7x12 M.,06.00 - 24.00 น.,18 Hrs.,"2,539,500",18.801254,98.968402
ภาคเหนือ,เชียงใหม่,2,สี่แยกสะพานนครพิงค์ (เจดีย์ขาว),6x10 M.,06.00 - 23.00 น.,17 Hrs.,"1,562,780",18.7931276,98.9996019
ภาคเหนือ,เชียงใหม่,3,ถนนคนเดิน ท่าแพ,3x4 M.,06.00 - 24.00 น.,18 Hrs.,"1,290,000",18.7873869,98.9937011
ภาคเหนือ,เชียงใหม่,4,สี่แยกรวมโชคมีชัย,14x25 M.,06.00 - 22.30 น.,16.5 Hrs.,"1,894,170",18.8229278,99.0121128
ภาคเหนือ,เชียงราย,5,จอแยกประตูเชียงใหม่ ถ.ราชโยธา,5x8 M.,07.00 - 21.00 น.,14 Hrs.,"2,860,000",19.907778,99.823944
ภาคเหนือ,เชียงราย,6,ห้าแยกพ่อขุน ถ.พหลโยธิน,6x10 M.,07.00 - 20.00 น.,13 Hrs.,"2,460,000",19.9080194,99.8404476
ภาคเหนือ,แพร่,7,ถ.ยันตรกิจโกศล (หน้าร้านเนรมิตคัลเลอร์แล็ป),3x5 M.,06:00 - 22:00 น.,16 Hrs.,"724,500",18.1368352,100.1471158
ภาคอีสาน,นครราชสีมา,8,ถ.มุขมนตรี (ตลาดสวายเรียง),5x8 M.,06.00 - 23.00 น.,17 Hrs.,"1,495,250",14.97279,102.073
ภาคอีสาน,นครราชสีมา,9,ถ.มิตรภาพ (ปากช่อง),10 x 19,06.00 - 23.00 น.,17 Hrs.,"6,142,250",14.660937,101.392833
ภาคอีสาน,ขอนแก่น,10,ตลาดโต้รุ่งขอนแก่น (ถนนรื่นรมย์),7x12 M.,07.00 - 22.00 น.,15 Hrs.,"1,488,250",16.425652,102.8350492
ภาคอีสาน,ขอนแก่น,11,ตึกสีฟ้า สี่แยกสามเหลี่ยม ติดถนนมิตรภาพ,8x6 M.,"07.30 - 20.00 น.
พักจอ 09.00 - 10.00 และ 14.00 - 15.00",10.5 Hrs.,"1,542,780",16.4392893,102.8286756
ภาคอีสาน,อุดรธานี,12,แยกสามพร้าว,13x6 M.,06.30 - 22.30 น.,16 Hrs.,"921,328",17.427413,102.8111971
ภาคอีสาน,อุดรธานี,13,แยกบ้านจั่น,24x11.5 M.,07.00 - 20.00 น.,13 Hrs.,"2,420,000",17.36399425,102.8158981
ภาคอีสาน,บุรีรัมย์,14,สี่แยก ถ.พิทักษ์ ตัดกับ ถ.รมย์บุรี,4x6 M.,07.00 - 22.00 น.,15 Hrs.,"1,017,300",14.997481,103.1080508
ภาคอีสาน,ร้อยเอ็ด,15,สี่แยกโรงเรียนเมืองร้อยเอ็ด ถ.ปัทมานนท์,5x11 M.,06.30 - 21.30 น.,15 Hrs.,"1,465,000",16.0455486,103.646959
ภาคอีสาน,สุรินทร์,16,สี่แยก ถ.เทศบาล1 ตัดกับ ถ.หมอกวน,5x8 M.,06.00 - 22.00 น.,16 Hrs.,"1,298,928",14.88086,103.50614
ภาคอีสาน,ศรีสะเกษ,17,ถ.กวงเฮง (ใกล้ห้างซุ่นเฮงพลาซ่า),4x6 M.,06.00 - 23.00 น.,17 Hrs.,"976,400",15.114497,104.3288663
ภาคอีสาน,อุบลราชธานี,18,สี่แยกวนารมย์,8x14 M.,07.00 - 21.00 น.,14 Hrs.,"2,064,447",15.274699,104.841845
ภาคอีสาน,อุบลราชธานี,19,สุนีย์ทาวเวอร์ (หน้าตึกฝั่งกสิกร),3.5x6 M.,06.00 - 22.30 น.,16.5 Hrs.,"1,864,447",15.2567184,104.8475344
ภาคอีสาน,อุบลราชธานี,20,สุนีย์ทาวเวอร์ (หน้าตึกฝั่งเคเอฟซี),3.5x6 M.,06.00 - 22.30 น.,16.5 Hrs.,"1,864,447",15.2566294,104.8475357
ภาคอีสาน,ชัยภูมิ,21,แยกโรงพยาบาลชัยภูมิ,3x4 M.,06.00 - 22.00 น.,16 Hrs.,"897,793",15.8065597,102.0356706
ภาคอีสาน,ชัยภูมิ,22,แยกโรงเรียนสตรีชัยภูมิ,3x4 M.,,,"897,250",15.8070529,102.0286881
ภาคอีสาน,มหาสารคาม,23,หน้าห้างเสริมไทยพลาซ่า,4x6 M.,06.00 - 22.00 น.,16 Hrs.,"895,567",16.1806725,103.3023541
ภาคอีสาน,เลย,24,สี่แยก ถ.สถลเชียงคาน-ร่วมใจ,3x4 M.,08.00 - 22.00 น.,14 Hrs.,"627,450",17.4902647,101.728606
ภาคอีสาน,อำนาจเจริญ,25,สี่แยกหอนาฬิกา,5x8 M.,07.00 - 21.00 น.,14 Hrs.,"887,560",15.863913,104.628113
ภาคกลาง,สมุทรสาคร,26,สี่แยกตลาดมหาชัย,7x10 M.,06.00 - 23.00 น.,17 Hrs.,"1,454,800",13.5497136,100.2741822
ภาคกลาง,สมุทรปราการ,27,ถนนสุขุมวิทตัดแยกเทพารักษ์,10x12 M.,06.00 - 22.00 น.,16 Hrs.,"6,000,000",13.644726,100.594795
ภาคกลาง,สมุทรปราการ,28,แยกเทพารักษ์ ถ.ศรีนครินทร์,8x15 M.,06.00 - 23.00 น.,17 Hrs.,"6,000,000",13.626173,100.626482
ภาคกลาง,นนทบุรี,29,ห้าแยกปากเกร็ด,7x12 M.,06.00 - 22.00 น.,16 Hrs.,"2,040,000",13.907673,100.503896
ภาคกลาง,นนทบุรี,30,แยกต่างระดับบางสีทอง ถ.นครอินทร์,8 x 15.5,06.00 - 22.00 น.,16 Hrs.,"2,040,000",13.82451,100.47994
ภาคกลาง,ฉะเชิงเทรา,31,ถนนเทพคุณากร มุ่งหน้าวัดโสธรฯ,6x9 M.,06.00 - 22.00 น.,16 Hrs.,"1,047,300",13.67339,101.0631
ภาคกลาง,นครสวรรค์,32,แยกพหลโยธิน (ขาเข้า นครสวรรค์-พิษณุโลก),10x17 M.,06.00 - 22.00 น.,16 Hrs.,"2,597,452",15.7102262,100.1175883
ภาคกลาง,พิษณุโลก,33,ห้าแยกตลาดโคกมะตูม,4x7 M.,08.30 - 20.30 น.,12 Hrs.,"1,059,110",16.8163151,100.2722107
ภาคกลาง,พิษณุโลก,34,ถ.สีหราชเดโชชัย มุ่งหน้านครสวรรค์,10 x 19,07.00 - 21.00 น.,15 Hrs.,"3,006,720",16.799631,100.214399
ภาคกลาง,สุพรรณบุรี,35,จอถนนพระพันวษา,3x5 M.,06.00 - 22.00 น.,16 Hrs.,"1,176,030",14.4715752,100.1165286
ภาคกลาง,สุพรรณบุรี,36,สี่แยกนางพิม,3x4 M.,06.00 - 22.00 น.,16 Hrs.,"1,186,000",14.472372,100.116767
ภาคกลาง,ปทุมธานี,37,สามแยกคลอง 5 (คลองหลวง),3x5 M.,06.00 - 22.00 น.,16 Hrs.,"2,858,047",14.06727,100.70995
ภาคกลาง,ปทุมธานี,38,ถ.ลำลูกกาคลอง 2,10 x 19,06.00 - 22.00 น.,16 Hrs.,"2,858,192",13.946369,100.64276
ภาคกลาง,อยุธยา,39,ถ.พหลโยธิน แยกวังน้อย (ขาออกกรุงเทพ),5x9 M.,06.00 - 23.00 น.,17 Hrs.,"3,300,000",14.185046,100.629108
ภาคกลาง,อยุธยา,40,ถ.พหลโยธิน แยกวังน้อย (ขาเข้ากรุงเทพ),5x9 M.,06.00 - 23.00 น.,17 Hrs.,"3,300,000",14.185046,100.629108
ภาคกลาง,อยุธยา,41,ถ.สายเอเชีย (ขาออก),10 x 19,06.00 - 23.00 น.,17 Hrs.,"3,305,580",14.335359,100.612459
ภาคกลาง,เพชรบูรณ์,42,ถนนศึกษาเจริญ,3x5 M.,06.00 - 22.00 น.,16 Hrs.,"1,321,584",16.41839,101.15471
ภาคกลาง,สระบุรี,43,ถ.มิตรภาพ (ขาออก),10 x 19,06.00 - 23.00 น.,17 Hrs.,"5,452,800",14.520996,100.922534
ภาคตะวันออก,ชลบุรี,44,"แยกสุขุมวิทพัทยาใต้ 

",8x14 M.,06.00 - 23.00 น.,17 Hrs.,"2,126,000",12.91781,100.89687
ภาคตะวันออก,ชลบุรี,45,สามแยกเทพประสิทธิ์,10x15 M.,07.00 - 23.00 น.,16 Hrs.,"1,592,500",12.9043923,100.8694317
ภาคตะวันออก,ชลบุรี,46,แยกพัทยาเหนือ ถนนสุขุมวิท 2,10x5 M.,06.00 - 24.00 น.,18 Hrs.,"1,902,100",12.948651,100.905839
ภาคตะวันออก,ชลบุรี,47,แยกเทพประสิทธิ์ ถนนสุขุมวิท 2,14x6 M.,06.00 - 24.00 น.,18 Hrs.,"1,621,000",12.909075,100.89633
ภาคตะวันออก,ชลบุรี,48,แยกชลชาย,9x17 M.,06.00 - 22.00 น.,16 Hrs.,"2,539,450",13.3492267,100.9797535
ภาคตะวันออก,ชลบุรี,49,ถนนสุขุมวิท มุ่งหน้ากรุงเทพฯ,10 x 19,06.00 - 23.00 น.,17 Hrs.,"2,478,900",13.339232,100.973029
ภาคตะวันออก,ระยอง,50,แยกทับมา ถ.สุขุมวิท-บายพาส,8x15 M.,06.00 - 22.00 น.,16 Hrs.,"1,152,081",12.704618,101.2413983
ภาคตะวันออก,ระยอง,51,แยกเนินสำลี,8x13 M.,06.00 - 23.00 น.,17 Hrs.,"956,000",12.703048,101.1859001
ภาคตะวันออก,ระยอง,52,แยก PMY,4x6 M.,06.00 - 22.00 น.,16 Hrs.,"932,637",12.6834054,101.2385624
ภาคตะวันออก,ระยอง,53,ถนนศูนย์การค้าสาย 4,4x6 M.,06.00 - 22.00 น.,16 Hrs.,"932,637",12.6819847,101.2714745
ภาคตะวันออก,ระยอง,54,สี่แยกโรงแรมคามิโอ,6.5x10 M.,06.00 - 22.00 น.,16 Hrs.,"932,637",12.682888,101.2613024
ภาคตะวันออก,จันทบุรี,55,จอสามแยก มาสด้า,4x5 M.,06.00 - 22.00 น.,16 Hrs.,"1,175,490",12.598512,102.118774
ภาคตะวันตก,ประจวบคีรีขันธ์,56,สี่แยกตลาดฉัตรไชย ถ.เพชรเกษม,6x4 M.,7.30 - 22.00 น.,14.5 Hrs.,"752,000",12.5729456,99.955718
ภาคตะวันตก,เพชรบุรี,57,แยกห้างเพชรทอง ถ.สุรินทร์ฤาไชย,4x3 M.,07.00 - 21.00 น.,14 Hrs.,"1,122,325",13.1078896,99.9494106
ภาคใต้,สงขลา,58,สี่แยก VL Hotel หาดใหญ่,4x6 M.,07.00 - 21.00 น.,14 Hrs.,"1,725,600",7.0059166,100.4713182
ภาคใต้,สงขลา,59,แยกวงเวียนหอนาฬิกาสงขลา,4x6 M.,06.00 - 23.00 น.,17 Hrs.,"1,658,000",7.2026,100.59189
ภาคใต้,สงขลา,60,สี่แยกมหาวิทยาลัยสงขลานครินทร์,5x9 M.,06.00 - 21.00 น.,15 Hrs.,"2,565,350",7.008362,100.493872
ภาคใต้,สงขลา,61,สามแยกประตู 109 ของมหาวิทยาลับสงขลานครินทร์,6x4 M.,06.00 - 22.00 น.,15 Hrs.,"2,575,350",7.00166,100.50125
ภาคใต้,ภูเก็ต,62,สี่แยกโลตัสภูเก็ต ถนนพระภูเก็ตแก้ว,7x12 M.,06.00 - 23.00 น.,17 Hrs.,"4,553,040",7.905876,98.3669027
ภาคใต้,ภูเก็ต,63,จอ sound gallery ภูเก็ต,4x3 M.,06.30-10.30 น. และ 16.00 - 24.00,17.5 Hrs.,"1,127,300",7.884536,98.379841
ภาคใต้,ภูเก็ต,64,ถนนเฉลิมพระเกียรติ ร.9,10x19 M.,06.00 - 23.00 น.,17 Hrs.,"4,553,040",7.905068,98.367925
ภาคใต้,สุราษฎร์ธานี,65,สี่แยกโรงแรมบีทู สุราษฎร์ธานี บูติค,4x7 M.,06.00 - 22.00 น.,16 Hrs.,"1,368,000",9.1382636,99.3218157
ภาคใต้,สุราษฎร์ธานี,66,รร.ซีบีดี,4x6 M.,06.00 - 22.00 น.,16 Hrs.,"1,316,400",9.1435288,99.325035
ภาคใต้,นครศรีธรรมราช,67,สี่แยกคูขวาง,3x5 M.,04.00 - 24.00 น.,20 Hrs.,"956,960",8.4411556,99.9698212
ภาคใต้,ตรัง,68,สามแยกชินตา (สามแยกพรศิริกุล),4x7 M.,06.00 - 22.00 น.,16 Hrs.,"1,989,000",7.558077,99.614447
ภาคใต้,ยะลา,69,สี่แยกโรงเรียนสตรียะลา,3x4 M.,07.00-21.00 น.,14 Hrs.,"656,330",6.5460895,101.2834085
ภาคใต้,ปัตตานี,70,สี่แยกโรงพยาบาลปัตตานี,3x6 M.,07.00-22.00 น.,15 Hrs.,"768,077",6.8694704,101.2504367
ภาคใต้,ชุมพร,71,ถนนเพชรเกษม,4x8 M.,06.00 - 22.00 น.,16 Hrs.,"2,759,351",10.580894,99.11497
ภาคใต้,กระบี่,72,สี่แยกคลองจิหลาด,3x8 M.,07.00 - 21.00 น.,14 Hrs.,"796,811",8.0835121,98.8955985
